t, ñ	wz	
4,615	2967	
4,62	2157	
4,625	1522	
4,63	1237	
4,635	1418	
4,64	1946	
4,645	2529	
4,65	2893	
4,655	2724	
4,66	2064	
4,665	1202	
4,67	456	
4,675	87	
4,68	148	
4,685	580	
4,69	1182	
4,695	1685	
4,7	1810	
4,705	1491	
4,71	831	
4,715	43	
4,72	-621	
4,725	-971	
4,73	-906	
4,735	-330	
4,74	78	
4,745	216	
4,75	35	
4,755	-457	
4,76	-1122	
4,765	-1707	
4,77	-2019	
4,775	-2014	
4,78	-1722	
4,785	-1341	
4,79	-1080	
4,795	-1083	
4,8	-1408	
4,805	-1935	
4,81	-2474	
4,815	-2899	
4,82	-2874	
4,825	-2626	
4,83	-2333	
4,835	-2182	
4,84	-2313	
4,845	-2690	
4,85	-3215	
4,855	-3719	
4,86	-4050	
4,865	-4085	
4,87	-3839	
4,875	-3448	
4,88	-3102	
4,885	-2993	
4,89	-3176	
4,895	-3960	
4,9	-4537	
4,905	-4951	
4,91	-4999	
4,915	-4750	
4,92	-4269	
4,925	-3814	
4,93	-3604	
4,935	-3741	
4,94	-4181	
4,945	-4826	
4,95	-5406	
4,955	-5740	
4,96	-5731	
4,965	-5394	
4,97	-4888	
4,975	-4271	
4,98	-4187	
4,985	-4417	
4,99	-4910	
4,995	-5453	
5,0	-5873	
5,005	-6000	
5,01	-5820	
5,015	-5402	
5,02	-4914	
5,025	-4560	
5,03	-4452	
5,035	-4635	
5,04	-5053	
5,045	-5511	
5,05	-5835	
5,055	-5876	
5,06	-5609	
5,065	-5238	
5,07	-4889	
5,075	-4717	
5,08	-4722	
5,085	-4885	
5,09	-5134	
5,095	-5338	
5,1	-5422	
5,105	-5325	
5,11	-5106	
5,115	-4822	
5,12	-4566	
5,125	-4418	
5,13	-4416	
5,135	-4544	
5,14	-4775	
5,145	-4819	
5,15	-4751	
5,155	-4547	
5,16	-4310	
5,165	-4079	
5,17	-3956	
5,175	-3978	
5,18	-4082	
5,185	-4179	
5,19	-4196	
5,195	-4113	
5,2	-3891	
5,205	-3570	
5,21	-3272	
5,215	-3087	
5,22	-3003	
5,225	-3091	
5,23	-3235	
5,235	-3310	
5,24	-3258	
5,245	-3061	
5,25	-2731	
5,255	-2340	
5,26	-2024	
5,265	-1868	
5,27	-1881	
5,275	-2062	
5,28	-2321	
5,285	-2506	
5,29	-2452	
5,295	-2216	
5,3	-1539	
5,305	-1023	
5,31	-679	
5,315	-547	
5,32	-645	
5,325	-896	
5,33	-1165	
5,335	-1282	
5,34	-1167	
5,345	-841	
5,35	-351	
5,355	167	
5,36	564	
5,365	699	
5,37	617	
5,375	341	
5,38	-98	
5,385	-194	
5,39	-21	
5,395	400	
5,4	955	
5,405	1456	
5,41	1767	
5,415	1817	
5,42	1630	
5,425	1331	
5,43	1119	
5,435	1082	
5,44	1275	
5,445	1677	
5,45	2141	
5,455	2496	
5,46	2716	
5,465	2621	
5,47	2404	
5,475	2186	
5,48	2125	
5,485	2233	
5,49	2515	
5,495	2877	
5,5	3223	
5,505	3414	
