t, ñ	wz	
7,815	-5313	
7,82	-5216	
7,825	-5128	
7,83	-5027	
7,835	-4956	
7,84	-4937	
7,845	-4908	
7,85	-4880	
7,855	-4840	
7,86	-4752	
7,865	-4607	
7,87	-4477	
7,875	-4347	
7,88	-4241	
7,885	-4154	
7,89	-4096	
7,895	-4063	
7,9	-3982	
7,905	-3872	
7,91	-3712	
7,915	-3549	
7,92	-3373	
7,925	-3243	
7,93	-3158	
7,935	-3091	
7,94	-3046	
7,945	-2963	
7,95	-2852	
7,955	-2676	
7,96	-2476	
7,965	-2281	
7,97	-2130	
7,975	-2000	
7,98	-1906	
7,985	-1872	
7,99	-1801	
7,995	-1689	
8,0	-1513	
8,005	-1305	
8,01	-1068	
8,015	-857	
8,02	-692	
8,025	-580	
8,03	-542	
8,035	-499	
8,04	-426	
8,045	-288	
8,05	-85	
8,055	144	
8,06	353	
8,065	529	
8,07	705	
8,075	757	
8,08	809	
8,085	904	
8,09	1034	
8,095	1204	
8,1	1420	
8,105	1632	
8,11	1814	
8,115	1985	
8,12	2058	
8,125	2097	
8,13	2160	
8,135	2259	
8,14	2432	
8,145	2607	
8,15	2787	
8,155	2960	
8,16	3118	
8,165	3178	
8,17	3225	
8,175	3285	
8,18	3378	
8,185	3512	
8,19	3653	
8,195	3838	
8,2	3993	
8,205	4136	
8,21	4201	
8,215	4219	
8,22	4248	
8,225	4298	
8,23	4403	
8,235	4518	
8,24	4655	
8,245	4777	
8,25	4922	
8,255	4953	
8,26	4961	
8,265	4968	
8,27	4986	
8,275	5043	
8,28	5127	
8,285	5259	
8,29	5379	
8,295	5482	
8,3	5526	
8,305	5511	
8,31	5463	
8,315	5456	
8,32	5456	
8,325	5514	
8,33	5599	
8,335	5694	
8,34	5747	
8,345	5788	
8,35	5756	
8,355	5690	
8,36	5641	
8,365	5593	
8,37	5586	
8,375	5614	
8,38	5670	
8,385	5699	
8,39	5694	
8,395	5644	
8,4	5563	
8,405	5494	
8,41	5433	
8,415	5408	
8,42	5396	
8,425	5389	
8,43	5383	
8,435	5343	
8,44	5277	
8,445	5215	
8,45	5109	
8,455	5013	
8,46	4960	
8,465	4882	
8,47	4842	
8,475	4799	
8,48	4690	
8,485	4609	
8,49	4508	
8,495	4410	
8,5	4306	
8,505	4226	
8,51	4141	
8,515	4068	
8,52	3980	
8,525	3853	
8,53	3749	
8,535	3637	
8,54	3513	
8,545	3385	
8,55	3268	
8,555	3151	
